name;count
JUAN;2419
ARON;2418
GANNA;2411
VLADISLAV;2400
TAISIIA;2395
SOPHIA;2394
JONATAN;2368
NIKOLAS;2365
IRMGARDA;2357
ELIASZ;2353
XAVIER;2348
OLA;2347
HELGA;2339
JACENTY;2333
MAKS;2321
DYMITR;2318
LIAM;2312
MOHAMED;2309
DAVIT;2299
LINA;2282
CHRISTOPHER;2273
ANTONIA;2265
MIRIAM;2265
EULALIA;2262
ELIGIUSZ;2259
VASYLYNA;2243
GALINA;2230
JAROSŁAWA;2212
VINCENT;2206
VITALINA;2199
MAXIM;2198
INES;2198
ARSENII;2168
PHILIP;2165
NATALIE;2159
HERMAN;2156
ANDREAS;2155
HEORHII;2155
ANATOLI;2146
MIHAIL;2135
PRAKSEDA;2131
MAIIA;2130
DAMIR;2125
RAFAEL;2121
VITALIY;2110
MYKHAYLO;2107
WIT;2107
HIPOLIT;2090
JOSE;2073
AMINA;2069
JONATHAN;2066
ROMA;2065
LUIS;2055
ELINA;2055
OSTAP;2037
MARCO;2016
RICHARD;2002
LIVIA;1982
BERNARDYNA;1977
OTOLIA;1970
EUFEMIA;1963
MUHAMMAD;1950
LUKA;1943
CARLOS;1941
VIACHASLAU;1941
FEDIR;1939
WILLIAM;1939
KSENIYA;1932
AUGUST;1928
ALEXANDRU;1921
YAHOR;1919
SERGIY;1913
GLORIA;1913
SIMON;1911
IZA;1907
VADIM;1905
LEONARDO;1902
MARIETTA;1884
VERONICA;1877
ZBYSŁAW;1871
APOLINARY;1865
ELLA;1862
KSAWIER;1856
YANINA;1849
DEMIAN;1843
SERHIY;1837
GRETA;1833
EMA;1832
MANUELA;1831
VASILI;1823
IRAKLI;1822
MEHMET;1815
PATRYCJUSZ;1798
JANA;1798
ANTONIO;1791
AUGUSTYNA;1786
ISABELLA;1784
ARLETTA;1777
NICHOLAS;1776
ERIK;1775
SOFIYA;1761
LUCAS;1757
MIRA;1750
KANSTANTSIN;1747
DIEGO;1712
PALINA;1711
ALA;1703
KLAUDYNA;1693
BRIAN;1692
MYRON;1692
INA;1692
MARGARITA;1690
BENEDYKTA;1682
JÓZEFINA;1677
VALERYIA;1671
MARTINA;1669
BLANDYNA;1665
DMITRII;1664
BOGDANA;1658
JAMES;1654
ROKSOLANA;1654
EKATERINA;1641
BENON;1634
LUBOMIRA;1634
ARIANA;1630
STANISLAU;1627
HANNAH;1625
VERANIKA;1625
YARYNA;1625
DOBROSŁAWA;1620
WINCENTYNA;1612
KORNELA;1590
DANIL;1589
VASILE;1589
NADIYA;1575
LILY;1574
AHMED;1573
ANDREW;1569
KYRYL;1569
MOHAMMAD;1565
RUSTAM;1565
HILARY;1563
LUKAS;1557
EUZEBIUSZ;1554
ELIZABETH;1551
GABRYELA;1551
MALINA;1550
YELIZAVETA;1549
ERIC;1537
ELVIRA;1537
JENNIFER;1532
LYUDMYLA;1523
WILHELMINA;1517
KOSMA;1516
KASJAN;1515
ZENOBIUSZ;1514
CYRYL;1511
VERA;1511
IRMA;1503
CARMEN;1500
IDZI;1499
VALERIA;1498
JOSEPH;1496
ANDRIANA;1493
LIGIA;1491
VIOLETA;1491
LINDA;1490
DINA;1488
NICOLAE;1487
WALESKA;1485
