surname;count
OSSOWSKA;4645
KUJAWSKI;4641
BOIKO;4631
BIELSKI;4625
OLEKSY;4617
IVANOVA;4616
MAGIERA;4616
PAWLICKA;4615
ZIMNY;4615
BUDZIŃSKI;4614
KOSOWSKI;4612
ZABŁOCKA;4606
KMIEĆ;4601
KOZIK;4601
OSSOWSKI;4600
JURCZYK;4592
SKORUPA;4583
PELC;4577
RUDZKA;4576
BUDZIŃSKA;4570
BIELSKA;4567
TOMASIK;4566
ALEKSANDROWICZ;4561
KOSTECKA;4560
BIELIŃSKI;4555
WOJTASIK;4554
RADECKA;4553
PAWLICKI;4552
WOŹNICA;4549
PEŁKA;4546
KAWECKI;4543
KRAKOWSKI;4539
SOBOTA;4538
GRZEŚKOWIAK;4535
KOSOWSKA;4531
WOJTKOWIAK;4526
NAPIERAŁA;4526
BANASZEK;4524
KRUCZEK;4516
STAWICKI;4509
MIERZWA;4498
SOBAŃSKA;4497
MACKIEWICZ;4486
BIELIŃSKA;4483
KAWECKA;4478
GUT;4478
KULIŃSKA;4474
SOBAŃSKI;4474
SEKUŁA;4472
KUJAWSKA;4468
ŚWIDER;4465
ŚMIGIELSKI;4463
POGORZELSKI;4458
WOŁOSZYN;4453
BONDARENKO;4423
PIĘTKA;4420
IZDEBSKI;4415
POGORZELSKA;4412
PIWOWARSKI;4412
STAWICKA;4402
KRAKOWSKA;4401
SZWARC;4394
GRUDZIŃSKA;4385
ŚMIGIELSKA;4372
DUSZYŃSKI;4372
KRASOWSKI;4360
HOFFMANN;4357
ŚWIĄTKOWSKA;4357
NIEDZIELA;4355
JUSZCZYK;4344
RATAJCZYK;4342
KRASOWSKA;4340
ŚWIĄTKOWSKI;4333
BOGACZ;4330
KRUKOWSKI;4330
MAKUCH;4328
PIWOWARSKA;4325
LITWIN;4323
KNAP;4320
IZDEBSKA;4317
BISKUP;4316
KARCZ;4316
WOLNA;4314
PANASIUK;4310
GRUDZIŃSKI;4307
KAWKA;4299
MAŃKA;4296
JÓŹWIK;4290
SZOT;4287
SCHMIDT;4285
STUDZIŃSKI;4284
LORENC;4280
KOVALENKO;4278
SZAREK;4278
BORYS;4277
ŚLEDŹ;4277
LISZKA;4276
WERNER;4269
FILIP;4269
